 	A	B	C	D	E	F	G	H	I	J	L	M	N	O	P	Q	R	S	T	U	V	Z
A	0	55	88	63	9	5	71	0	28	0	303	97	357	1	51	0	293	113	225	10	157	26
B	32	64	0	0	49	0	0	0	59	0	7	0	0	43	0	0	52	0	0	11	0	0
C	136	0	125	0	117	0	0	302	165	0	12	0	0	394	0	5	23	0	0	48	0	0
D	139	0	0	6	290	0	0	0	388	0	0	0	0	181	0	0	12	0	0	55	0	0
E	6	20	47	60	1	5	75	3	29	0	244	76	383	2	11	2	557	259	137	1	94	23
F	67	0	0	0	44	21	0	0	56	0	3	0	0	51	0	0	17	0	0	13	0	0
G	43	0	0	0	41	0	53	9	108	0	99	0	95	50	0	0	38	0	0	37	0	0
H	9	0	0	0	206	0	0	0	75	0	0	1	0	5	0	0	0	0	0	0	0	0
I	187	14	105	46	111	17	67	1	2	0	177	99	312	233	23	3	61	136	113	38	65	21
J	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
L	239	0	35	7	264	3	3	0	197	0	242	19	1	122	1	1	0	4	95	58	4	12
M	161	21	0	0	218	0	0	0	92	0	0	20	0	127	86	0	0	0	0	20	0	0
N	150	0	66	202	198	20	26	0	162	1	0	0	45	360	0	7	2	42	342	42	5	62
O	1	11	62	14	0	13	75	11	46	1	187	147	486	1	43	0	285	149	63	0	91	2
P	128	0	0	0	243	0	0	0	101	0	5	0	0	152	40	0	147	1	0	44	0	0
Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0
R	344	11	44	38	385	0	26	0	292	0	24	29	53	238	19	0	47	63	68	10	7	15
S	113	1	90	1	272	6	7	0	255	0	1	2	0	140	61	3	0	204	253	116	1	0
T	297	0	5	0	382	0	0	0	211	0	0	0	0	369	0	0	204	0	195	78	0	0
U	136	17	15	14	167	4	8	0	49	0	31	16	245	100	5	1	71	26	89	0	2	5
V	193	0	0	0	188	0	0	0	126	0	0	0	0	90	0	0	11	0	0	13	16	0
Z	64	0	0	0	7	0	0	0	75	1	0	0	0	15	0	0	0	0	0	0	0	27
